Visa Rank	Employer	H1B LCA(2017-2019) (Denied, Withdrawn/Total)	Green Card LC(2017-2019)  (Denied, Withdrawn/Total)
564	1559	Techstar Consulting Inc	16/182	1/18
565	1559	Igt Solutions, Inc.	4/171	0/29
566	1565	Harmonia Holdings Group Llc	5/172	0/27
567	1565	Iconma, Llc	1/184	0/15
568	1565	Intellisoft Technologies, Inc.	10/181	1/18
569	1573	Veritis Group, Inc.	7/173	1/25
570	1573	Global Information Technology, Inc.,	5/167	1/31
571	1573	Sarayu Consultants Inc	1/179	0/19
572	1573	Corporate Computer Services Inc	5/186	1/12
573	1573	Prosper Marketplace, Inc.	10/169	0/29
574	1584	Liquidhub, Inc.	1/157	0/40
575	1584	Allied Business Consulting, Inc.	5/183	1/14
576	1590	Sunmerge Systems Inc.	0/180	2/16
577	1590	Gavs Technologies	2/191	0/5
578	1590	Infowave Systems, Inc	8/179	0/17
579	1590	Compusoft Integrated Solutions, Inc.	10/174	3/22
580	1590	Visual Bi Solutions Inc	24/172	2/24
581	1598	Aptude, Inc.	11/178	0/17
582	1598	Nihaki Systems Inc	7/180	0/15
583	1598	Gallega Software Solutions Inc	1/185	0/10
584	1606	Infoyuga Technologies, Inc.	3/194	-
585	1606	Information Resources, Inc.	1/171	0/23
586	1616	Nbcuniversal Media, Llc	4/170	0/23
587	1616	Cvent, Inc.	7/169	1/24
588	1616	Model N, Inc.	14/169	1/24
589	1622	Decipher Software Solutions	1/178	0/14
590	1622	Cavalier It Inc.	4/182	0/10
591	1622	Shinewell Technologies Inc.	11/178	1/14
592	1629	Abal Technologies, Inc	7/174	0/17
593	1629	Advantage It Inc	9/180	1/11
594	1629	Systel Inc Of Delaware	2/184	0/7
595	1629	Zendesk, Inc.	3/143	0/48
596	1629	It People Corporation	5/178	0/13
597	1640	Saras America Inc.	3/183	1/7
598	1640	Strategic Staffing Solutions, L.C.	10/190	-
599	1640	Ved Software Services Inc	2/179	0/11
600	1650	Open Text, Inc.	8/166	0/23
601	1650	Macrosoft, Inc.	2/167	0/22
602	1650	Genome International Corporation	14/183	0/6
603	1660	Appdynamics, Inc.	120/164	0/24
604	1660	Pinnacle Technical Resources, Inc.	3/168	2/20
605	1660	Sqa Concepts Inc	4/161	1/27
606	1660	V.L.S Systems, Inc	2/182	0/6
607	1660	It Keysource, Inc.	3/176	1/12
608	1669	Aci Infotech Inc.	10/172	1/15
609	1669	West Corporation	11/149	2/38
610	1669	Hudson Data Llc	8/173	0/14
611	1669	Binary Computer Int'L Corp	14/187	-
612	1669	Propelsys Technologies Llc	7/162	4/25
613	1684	Tekwissen Llc	4/170	2/16
614	1684	Silverxis Inc	1/177	0/9
615	1684	Ka-Sapsolutions Inc	11/180	1/6
616	1684	Comprehensive Resources, Inc.	13/182	0/4
617	1684	First Object Inc	0/180	0/6
618	1694	Humetis Technologies, Inc.	3/177	1/8
619	1694	Bahwan Cybertek Inc.	5/163	0/22
620	1694	Infinity Tech Group Inc.	9/170	1/15
621	1694	Sunray Enterprise, Inc.	13/177	0/8
622	1694	Isr Info Way, Inc.	3/162	1/23
623	1694	Activision Publishing, Inc.	3/139	0/46
624	1708	Idhasoft, Inc.	12/182	0/2
625	1708	Ar Systems, Inc	2/182	1/2
626	1724	Technomax, Llc	4/154	0/29
627	1724	A10 Networks, Inc.	3/138	0/45
628	1732	Object Technology Solutions Inc	7/161	7/21
629	1732	Arcus Technologies	3/172	0/10
630	1732	Amiti Consulting, Inc	1/173	0/9
631	1732	Infologitech Inc	11/171	0/11
632	1732	Synergy Global Technologies Inc.	10/166	2/16
633	1742	Mitchell International Inc.	5/145	1/36
634	1742	Infoville Inc.	7/161	1/20
635	1742	Luxoft Usa Inc	3/49	6/132
636	1752	Palayekar Companies, Inc	6/168	0/12
637	1752	Saturn Tech Llc	4/150	3/30
638	1759	Alindus, Inc.	12/174	0/5
639	1759	Xceltech, Inc	14/162	6/17
640	1767	Data Solutions, Inc.	10/154	0/24
641	1767	Aspen Technology, Inc.	9/155	2/23
642	1767	Csc Holdings, Llc	4/156	2/22
643	1777	Hitachi Data Systems Corporation	3/105	4/72
644	1777	Mobileiron, Inc.	4/139	4/38
645	1777	Nam Technologies, Inc.	6/147	0/30
646	1785	Network Objects, Inc.	3/153	1/23
647	1790	Saven Technologies, Inc	12/155	1/20
648	1790	R2 Technologies Llc	18/168	1/7
649	1801	Incandescent Technologies, Inc.	7/145	5/29
650	1801	Allscripts Healthcare, Llc	2/132	0/42
651	1801	Eminent Software Services	8/143	1/31
652	1801	Nextgen Technologies Inc.	4/160	0/14
653	1801	Softcorp International, Inc.	2/149	2/25
654	1815	Jsmn International Inc	6/128	13/45
655	1815	Byteware Inc	13/160	1/13
656	1815	Img Systems Inc	8/155	0/18
657	1827	Centaurus Technology Partners, Llc	1/152	0/20
658	1827	Aptiva Corp	6/156	2/16
659	1827	Dynamic Software Consultants, Inc	6/168	0/4
660	1839	Dice It Solutions, Llc	29/158	1/13
661	1839	Mutex Systems, Inc.	7/153	1/18
662	1845	Ocher Technology Group	11/121	5/49
663	1845	Softech International Resources, Inc.	3/151	3/19
664	1853	Fei.Com, Inc.	1/158	1/11
665	1853	Competent Systems, Inc	12/158	2/11
666	1853	Horizon Softech, Inc	2/153	1/16
667	1853	Netskope, Inc.	5/134	0/35
668	1853	North Point It Corp	9/145	0/24
669	1853	Dew Software, Inc.	7/155	1/14
670	1853	Ebsco Publishing	2/145	2/24
671	1853	Primus Global Services, Inc	9/157	0/12
672	1865	Theme Soft, Inc.	17/153	1/15
673	1865	Strategic Staffing It Inc	3/162	2/6
674	1865	Advanced Technology Consulting Service, Inc.	3/151	0/17
675	1865	Ksoft Systems Inc	1/146	1/22
676	1865	United It Solutions Inc	10/151	0/17
677	1877	American Technology Consulting, Llc	4/166	0/1
678	1877	Aci Worldwide Corp.	3/143	1/24
679	1877	Slashsupport, Inc.	1/161	0/6
680	1877	Resolve Tech Solutions Inc	9/133	1/34
681	1877	Bristlecone Inc.	6/152	0/15
682	1891	Pioneer Corporate Services Inc	6/158	0/8
683	1891	Royal Technocrats, Inc.	4/153	1/13
684	1891	Msrcosmos, Llc	0/163	0/3
685	1891	Wenova Inc.	1/142	1/24
686	1891	Deebecon Inc	3/155	1/11
687	1891	Professional Access Ltd.	7/164	0/2
688	1891	Mavensoft Technologies, Llc.	3/156	0/10
689	1905	Logic Soft Inc.	12/148	0/17
690	1905	The Ultimate Software Group, Inc.	7/128	2/37
691	1905	Trinity Consulting, Inc	3/142	2/23
692	1914	Comprobase, Inc.	12/149	3/15
693	1914	Aption Llc	6/152	0/12
694	1914	Techorbit, Inc.	6/143	1/21
695	1914	Vector Systems, Inc.	7/158	1/6
696	1914	Flexasoft	9/164	-
697	1914	Mapr Technologies, Inc.	0/116	4/48
698	1930	Globus It Incorporated	16/151	1/12
699	1930	Selectiva Systems Inc.	6/144	0/19
700	1930	Margin5 Solutions Inc	4/149	2/14
701	1930	Unicom Technologies, Inc.	2/153	0/10
702	1939	Esencia Technologies Inc	7/146	0/16
703	1939	Megan Soft, Inc.	6/156	0/6
704	1939	Computer Enterprises, Inc.	4/147	2/15
705	1939	Samiti Technology, Inc.	26/143	0/19
706	1939	Celer Systems, Inc.	5/150	0/12
707	1939	Divensi Inc.	15/157	0/5
708	1957	Eminence It Solutions, Inc.	4/142	1/19
709	1957	Tek Tree Llc	1/153	2/8
710	1957	Paramount Global Solutions, Inc.	1/149	0/12
711	1957	Kmk Consulting, Inc.	2/126	5/35
712	1957	Selsoft, Inc.	5/153	0/8
713	1957	Nuance Communications, Inc.	4/122	0/39
714	1971	Ascendum Solutions, Llc	30/157	2/3
715	1971	Charles River Systems, Inc.	2/130	2/30
716	1971	Javen Technologies, Inc.	7/125	0/35
717	1983	Dw Matrix Inc	9/142	1/17
718	1983	Drishticon Inc.	17/134	1/25
719	1983	Einfochips, Inc.	7/132	0/27
720	1994	Concept Software & Services, Inc.	10/149	0/9
721	1994	Teradyne Infotech	2/136	1/22
722	1994	Protech Solutions Inc.	3/143	1/15
723	1994	Global Systems LLC	2/140	0/18
724	1994	Tradeweb Markets Llc	0/133	0/25
725	1994	Eliassen Group, Llc	0/132	0/26
726	2007	Prodigy Technologies, Inc.	1/151	0/6
727	2007	Isolvetechnology Inc	4/129	2/28
728	2007	Tekstrom Inc	15/145	0/12
729	2019	Epeople Technologies Inc	1/146	0/10
730	2019	Technology Consultants Inc	3/119	11/37
731	2019	Trustek Inc.	7/145	0/11
732	2032	Egencia Llc	4/118	0/37
733	2032	Droisys, Inc.	7/125	9/30
734	2039	Appian Corporation	5/142	0/12
735	2039	Adi Worldlink, Llc	15/138	3/16
736	2039	Compest Solutions, Inc.	3/139	2/15
737	2053	Ordusion Technologies, Inc.	4/142	3/11
738	2053	Nitya Software Solutions, Inc	2/142	0/11
739	2053	Smallboard.Com	21/140	0/13
740	2053	Vensit Corp	22/145	0/8
741	2053	Estuate, Inc	9/142	0/11
742	2053	Innovative Information Technologies, Inc.	14/143	1/10
743	2066	Kronos Incorporated	3/120	0/32
744	2066	Tt Technologies Inc	0/142	1/10
745	2066	Zume It Inc	2/126	3/26
746	2066	Lgbs Software, Inc.	22/146	1/6
747	2080	Iflowsoft Solutions Inc.	10/138	2/13
748	2080	Tekmark Global Solutions Llc	0/144	0/7
749	2080	Server Management Services Llc	1/142	1/9
750	2080	Techligent Systems Inc.	11/133	1/18
751	2095	Technical Strategies Inc	6/142	0/8
752	2095	Unique Key Resources Inc	4/147	0/3
753	2095	Bmc Software, Inc.	5/107	4/43
754	2095	Appnexus, Inc.	1/112	1/38
755	2095	Stansource Inc	2/129	1/21
756	2095	Invensys Inc	1/139	1/11
757	2095	Hotwire, Inc.	1/129	0/21
758	2095	Unikon It Inc	3/120	1/30
759	2122	Applexus Technologies Llc	14/141	0/8
760	2138	Youngsoft Inc.	9/133	1/15
761	2138	Streamline Technologies, Inc	10/145	1/3
762	2138	Isoftech Inc	4/138	2/10
763	2138	Mudrasys,Inc.	8/129	14/19
764	2138	Signature Commercial Solutions, Llc	6/135	0/13
765	2138	Akt, Llc.	2/134	1/14
766	2138	Galaxy I Technologies, Inc.	7/132	0/16
767	2156	Torque Technologies Llc	14/143	0/4
768	2156	Verifone Holdings, Inc.	1/119	1/28
769	2156	Anu Software Consultants, Inc.	2/123	6/24
770	2156	Novisync Solutions, Inc.	19/147	-
771	2176	Mintex Tech, Inc	5/135	4/11
772	2176	Primasoft Inc	10/135	3/11
773	2176	Web Yoga, Inc.	2/143	1/3
774	2176	Titan Technologies Inc	13/138	3/8
775	2192	Kennedy International Software,Inc	5/145	-
776	2192	Zifo Technologies Inc.	2/142	0/3
777	2192	Anid Infosoft Llc	4/143	0/2
778	2192	Computer Aid, Inc.	5/130	0/15
779	2207	4-Serv Solutions Inc	2/133	2/11
780	2207	Cbs Interactive, Inc.	11/120	0/24
781	2207	Omega Solutions Inc	0/142	0/2
782	2219	Interface Systems, Inc.	2/143	-
783	2219	Quora, Inc.	1/113	0/30
784	2219	Polar It Services Inc	4/133	3/10
785	2219	Cavisson Systems, Inc.	0/123	4/20
786	2219	Innovatech Solutions, Inc.	8/130	0/13
787	2219	Rivi Consulting Group, Inc.	8/134	0/9
788	2219	Icsa Inc	10/129	2/14
789	2239	Technozant Llc	1/134	0/8
790	2239	Northstar Technologies, Inc.	0/124	2/18
791	2239	Corp2corp Inc	0/131	1/11
792	2239	Sv It Inc	1/136	0/6
793	2239	Skillstorm Commercial Services Llc	6/128	0/14
794	2256	Smart Information Management Systems, Inc.	5/116	2/25
795	2256	Source Consulting, Llc	5/134	0/7
796	2256	Prosoft It Services, Inc	6/126	2/15
797	2256	Openbox Solutions, Inc.	2/135	0/6
798	2256	Early Warning Services, Llc	2/110	4/31
799	2256	Ibrain Technologies, Inc.	1/102	11/39
800	2256	Sony Pictures Entertainment Inc.	2/123	2/18
801	2256	Objects On Net, Inc.	7/130	3/11
802	2256	Maganti It Resources, Llc	12/136	1/5
803	2277	Clinpharma Clinical Research, Llc	3/129	0/11
804	2277	China Telecom (Americas) Corporation	18/138	0/2
805	2277	Global Data Management, Inc.	2/125	2/15
806	2288	Promantus Inc.	3/109	1/30
807	2288	Vortalsoft, Inc	0/132	1/7
808	2288	Dolphin Solutions Inc	7/125	3/14
809	2306	Airline Tariff Publishing Company (Atpco)	8/107	1/31
810	2306	Aureus Techsystems Llc	3/122	1/16
811	2306	Cquent Systems Inc	7/134	0/4
812	2306	Marriott International, Inc.	0/118	1/20
813	2306	Infobahn Softworld, Inc	3/124	0/14
814	2306	Thought Byte, Inc.	5/121	9/17
815	2306	Global It, Inc.	8/128	4/10
816	2306	A1 Kaiser Inc	10/130	0/8
817	2324	International Systems Technologies, Inc.	7/120	2/17
818	2324	Xtivia, Inc.	7/120	2/17
819	2324	Lilax Technologies Inc	10/131	0/6
820	2324	World Wide Technology Holding Company, Inc.	8/117	0/20
821	2324	Kriddha Technologies, Inc.	3/118	1/19
822	2347	Cinergy Technology, Inc.	9/119	3/17
823	2347	Newt Global Consulting, Llc	1/120	0/16
824	2347	Sriven Technologies, Llc	7/113	1/23
825	2363	Digipulse Technologies, Inc.	7/123	1/12
826	2363	Isolvers, Inc	2/126	0/9
827	2363	W3global, Inc.	8/125	0/10
828	2363	Intralinks, Inc.	6/107	2/28
829	2363	Gyansys Inc.	3/118	0/17
830	2363	Aita Consulting Services, Inc.	3/123	0/12
831	2363	Infosmart Systems Inc	2/128	2/7
832	2363	Shubh Solutions Llc	3/126	0/9
833	2363	Ecloud Labs Inc	7/116	2/19
834	2363	Lenmar Consulting Inc.	6/129	0/6
835	2384	Finsoft Consultants, Inc.	3/126	1/8
836	2384	Infosytech Solutions, Inc.	1/117	4/17
837	2384	Ferguson Consulting, Inc.	2/129	0/5
838	2397	E3 Global, Inc.	4/123	0/10
839	2397	Wisdom Infotech, Ltd.	3/123	0/10
840	2397	Ss&C Technologies, Inc.	5/113	1/20
841	2397	Business Intelligence Systems, Inc.	2/112	1/21
842	2411	Zscaler, Inc.	2/114	2/18
843	2411	Symphony Corporation	0/106	2/26
844	2411	Data Concepts, Llc	2/123	0/9
845	2411	Logicque Inc.	0/125	0/7
846	2411	Ilogik, Inc.	1/132	-
847	2411	Fujitsu Network Communications, Inc.	6/114	1/18
848	2411	Clutchpoint, Llc	2/119	0/13
849	2411	Datametrics Software Systems Inc	10/124	1/8
850	2411	Cogent Integrated Business Solutions, Inc	0/125	3/7
851	2433	Simeio Solutions, Llc	3/106	2/25
852	2433	Clear Thought Solutions Llc	1/121	3/10
853	2433	M2 Resources, Inc.	8/122	0/9
854	2433	Logitech Inc.	4/96	0/35
855	2433	Kpk Technologies Inc	15/128	0/3
856	2433	Covetit, Inc.	3/116	1/15
857	2433	Quadrant 4 System Corporation	7/106	1/25
858	2433	Apex It Services, Llc	15/116	2/15
859	2453	Estrada Consulting Inc	2/115	1/15
860	2453	The Principal Consulting, Inc.	9/120	0/10
861	2453	Grapnel Tech Services, Llc	8/117	0/13
862	2453	Quantcast Corporation	2/95	7/35
863	2453	Saksoft, Inc.	4/115	1/15
864	2471	Sita Corp	6/113	2/16
865	2471	Infospan, Inc.	0/109	4/20
866	2471	Mgm Resorts International Operations, Inc.	15/127	0/2
867	2471	Global Resource Management, Inc.	10/120	0/9
868	2471	Techmagix, Inc.	3/118	0/11
869	2491	International Technologies Pro, Llc	12/124	1/4
870	2491	Programmer Resources International, Inc.	4/106	1/22
871	2491	Prospect Infosys, Inc.	4/109	6/19
872	2501	Analysts International Corporation	0/115	2/12
873	2501	Cignex Datamatics Inc	11/112	3/15
874	2501	Proswift Consulting, Llc	38/125	0/2
875	2501	Covant Solutions Inc	1/121	0/6
876	2501	American It Resource Group, Inc	2/117	0/10
877	2526	Niha Technologies, Inc.	5/126	-
878	2526	Software Professionals Inc	13/117	0/9
879	2526	Netscout Systems, Inc.	2/86	1/40
880	2526	Bentley Systems, Incorporated	4/104	5/22
881	2526	Infosys Solutions, Inc.	0/114	0/12
882	2544	Hp Infosystems Llc	4/111	0/14
883	2544	Horizon Advanced Systems Inc.	7/120	0/5
884	2544	Netvision Resources, Inc	8/117	3/8
885	2544	Gb Tech, Inc.	19/121	0/4
886	2544	Orasys Llc	1/110	1/15
887	2544	Digital Intelligence Systems, Llc	3/115	1/10
888	2566	Turnberry Solutions Inc.	6/121	0/3
889	2566	Resourcesoft, Inc.	10/123	0/1
890	2566	Saggezza, Inc.	3/115	0/9
891	2566	Tribis, Inc.	7/112	0/12
892	2589	Swift Technologies, Inc.	16/121	0/2
893	2589	Innovate Solutions Inc	2/120	0/3
894	2589	Urooj, Llc	4/117	1/6
895	2589	Partners Information Technology Inc.	7/105	0/18
896	2589	Erpmark, Inc.	1/117	2/6
897	2589	Mulesoft, Inc.	0/97	1/26
898	2589	New England It Associates, Inc	4/106	0/17
899	2618	Lera Technologies, Llc	21/114	3/8
900	2618	E-It Professionals Corp.	0/116	0/6
901	2618	Adroix Corp (Dba) Codeforce 360	0/77	8/45
902	2618	Telenav, Inc.	1/96	4/26
903	2618	Quality Software Services, Inc.	20/99	1/23
904	2618	Alrek Business Solutions, Inc	2/105	3/17
905	2618	Y-Axis, Inc.	10/118	2/4
906	2639	Amtex Systems, Inc.	2/103	1/18
907	2639	Z3 Technologies Inc	3/116	0/5
908	2656	Strategic Systems, Inc.	4/115	0/5
909	2656	Iknowvate Technologies, Inc.	7/116	0/4
910	2656	Tiger Analytics, Llc	10/105	2/15
911	2656	Csc Consulting, Inc.	6/112	0/8
912	2656	Advantecs Group, Inc	18/118	0/2
913	2656	Pax International Co.Inc	3/115	0/5
914	2682	Norgate Technology, Inc.	4/109	0/10
915	2682	Stat9 Technologies Inc.	5/112	0/7
916	2682	Highdata Software Corporation	5/110	0/9
917	2682	Tintri, Inc	3/88	7/31
918	2682	Ingram Micro Inc.	3/103	0/16
919	2701	Tyler Technologies, Inc.	5/84	2/34
920	2701	Doli Systems Inc.	2/109	0/9
921	2701	Sophos, Inc.	2/94	1/24
922	2701	Paradigm Info Tech Inc	1/109	1/9
923	2701	The Hackett Group, Inc.	4/98	1/20
924	2701	Eminence Consulting, Inc.	4/116	0/2
925	2716	Fourth Technologies, Inc.	3/91	1/26
926	2716	Continental Technology Solutions Inc	5/112	0/5
927	2716	Athenahealth, Inc.	9/98	1/19
928	2732	Excelacom Inc	8/106	1/10
929	2732	Veeva Systems, Inc.	1/91	2/25
930	2732	Osisoft, Llc	1/90	5/26
931	2732	Sri Anjaneya Technologies, Llc	4/102	1/14
932	2754	Datamart Systems Inc	6/109	1/6
933	2754	Zenmonics, Inc.	2/104	2/11
934	2754	E-Emphasys Technologies Inc	4/111	0/4
935	2754	Neustar, Inc.	2/92	0/23
936	2754	Invictus Infotech Llc	2/106	0/9
937	2754	Tbd Pizza, Inc.	1/98	0/17
938	2754	Smart Erp Solutions	2/102	2/13
939	2754	Opel Systems, Inc.	0/101	0/14
940	2754	N2 Services, Inc.	4/99	0/16
941	2754	Fusion Global Solutions Llc	10/110	0/5
942	2754	Qa Infotech, Inc.	1/107	0/8
943	2781	Velaga Associates, Inc.	9/85	4/29
944	2781	Peterson Technology Partners, Inc.	7/94	0/20
945	2781	Symbol Software Services, Inc.	5/107	0/7
946	2781	Acclaim Systems, Inc.	2/93	0/21
947	2781	Cardus, Inc.	4/98	0/16
948	2781	Sierra Infosys, Inc	16/109	2/5
949	2800	Dazzlon Computer Services Inc	4/113	-
950	2800	Info Labs, Inc.	1/102	2/11
951	2800	Abridge Info Systems Inc.	5/102	0/11
952	2800	Ecom Solutions Inc	1/102	0/11
953	2800	Global Technical Software Services, Inc.	8/103	0/10
954	2800	3k Technologies, Llc	7/106	0/7
955	2800	Suntechpros Inc.	1/102	0/11
956	2800	Accuity, Inc	2/87	2/26
957	2824	Corporate Computer Solutions, Llc	9/106	0/6
958	2824	Galaxy Software Solutions, Inc	7/105	1/7
959	2824	Eteam, Inc.	4/106	0/6
960	2824	Jvr Systems, Inc.	6/102	2/10
961	2824	Gdn Infotech, Inc.	4/95	0/17
962	2824	Grid Dynamics International, Inc.	5/74	3/38
963	2824	Royal Cyber Inc.	2/101	1/11
964	2824	Compass Group Usa Inc.	2/93	0/19
965	2824	Sunray Informatics Inc.	2/104	1/8
966	2849	Cwc International, Inc.	0/85	3/26
967	2849	Whiz It Solutions Inc	0/101	2/10
968	2849	Genius Business Solutions, Inc.	6/91	2/20
969	2849	Actimize Inc.	5/88	0/23
970	2868	Urban Compass, Inc.	5/106	0/4
971	2868	Technet Llc	3/93	1/17
972	2868	Palni Inc	1/103	0/7
973	2868	Mark Infotech, Inc.	2/106	0/4
974	2868	Armstrong Technologies, Inc.	5/105	2/5
975	2868	Edify Technologies, Inc.	6/95	0/15
976	2868	West Coast Consulting Llc	6/105	1/5
977	2868	Resource America Information Technology, Inc.	1/100	0/10
978	2868	Tenazx Inc.	6/97	1/13
979	2868	Acumen Solutions Inc	5/89	1/21
980	2890	Metricstream, Inc.	8/103	0/6
981	2890	Prosoft Technologies Inc	27/107	0/2
982	2890	Mindteck, Inc.	0/101	2/8
983	2890	Gateway Solutions, Inc.	1/99	0/10
984	2890	Intrigo Systems Incorporated	5/100	0/9
985	2890	Broadgate, Inc.	2/102	0/7
986	2890	Trend Micro, Inc.	0/82	1/27
987	2890	Covanex, Inc.	1/101	0/8
988	2927	Calypso Technology, Inc.	0/82	0/26
989	2927	Pegasys Systems & Technologies, Inc.	8/96	5/12
990	2927	Active Enterprise Solutions	5/104	0/4
991	2927	American Infosys, Inc	2/91	2/17
992	2946	Dots Technologies, Inc	2/92	2/15
993	2946	Vennsys Llc	10/92	0/15
994	2946	Scioinspire, Corp.	11/98	0/9
995	2946	Xad, Inc.	4/101	1/6
996	2946	Datacaliper, Llc	4/97	1/10
997	2946	Hanu Software Solutions, Inc.	0/101	3/6
998	2946	Teknest Inc	4/95	0/12
999	2946	Data Glove Inc.	3/106	1/1
1000	2946	Jetblue Airways	4/78	1/29
1001	2976	Talend, Inc.	1/87	2/19
1002	2976	3core Systems, Inc.	1/97	0/9
1003	2976	Globant, Llc	3/83	3/23
1004	2976	Softlabs Na, Inc.	1/99	0/7
1005	2976	I&I Software, Inc.	0/101	0/5
1006	2976	Genuineit, Llc	6/103	1/3
1007	2976	International Solutions Group, Inc.	5/96	0/10
1008	2976	Pactera Technologies Inc.	1/88	1/18
1009	2999	Brite Systems, Inc.	10/93	1/12
1010	2999	American Professionals Inc	2/94	0/11
1011	2999	Vcarve Inc	3/88	0/17
1012	2999	Virtustream Inc.	5/88	0/17
1013	2999	Verisign, Inc.	3/92	0/13
1014	2999	Dynamic Enterprise Solutions, Inc.	1/101	0/4
1015	3018	Dynamic Itsolutions Inc	7/98	0/6
1016	3018	Aristocrat Technologies, Inc.	4/92	4/12
1017	3018	Pocket Gems, Inc.	3/81	0/23
1018	3018	Global Sumi Technologies, Inc.	2/93	0/11
1019	3018	Soft Computer Consultants, Inc.	4/83	6/21
1020	3018	Yasme Soft, Inc.	1/95	0/9
1021	3043	Sparity, Inc.	3/89	0/14
1022	3043	Ipsoft Incorporated	1/88	0/15
1023	3043	Keste, Llc	1/93	0/10
1024	3043	Beyondsoft Consulting, Inc.	2/97	0/6
1025	3043	Two95 International Inc.	4/89	1/14
1026	3043	U.S. Cellular Corporation	5/76	0/27
1027	3043	Region Technologies, Inc.	5/79	0/24
1028	3043	Datamatics Global Services Inc	12/97	1/6
1029	3043	Judge Technical Services, Inc	2/90	4/13
1030	3043	Ampcus, Inc.	7/91	0/12
1031	3043	Sricom, Inc	0/98	1/5
1032	3043	Truecar, Inc.	8/86	0/17
1033	3043	Calsoft Labs, Inc.	5/92	5/11
1034	3043	Valtech Solutions Inc.	5/88	3/15
1035	3078	Computech Corporation	1/97	0/5
1036	3096	Confiminds Llc	5/87	0/14
1037	3096	Headstream Inc	0/93	0/8
1038	3096	Essence Group Holdings Corporation	0/86	0/15
1039	3096	Tekcommands, Inc.	4/93	0/8
1040	3096	Indu, Llc	5/99	0/2
1041	3096	Drfirst.Com, Inc.	0/79	5/22
1042	3096	22nd Century Technologies, Inc	0/94	0/7
1043	3096	Novelty Infotech, Inc	2/94	0/7
1044	3114	Apptio, Inc.	3/70	1/30
1045	3114	Acro Service Corporation	17/90	0/10
1046	3114	Teckpros Llc	11/89	0/11
1047	3114	Maxisit, Inc	4/92	0/8
1048	3114	Valiantica Inc	1/100	-
1049	3114	Erp Logic, Llc.	10/91	0/9
1050	3114	Candor Ps Llc	5/83	0/17
1051	3114	Ajace Inc	2/92	0/8
1052	3114	Ez Solutions Inc	3/96	0/4
1053	3114	Iquadra Information Services Llc	4/92	0/8
1054	3148	Agility Technologies, Llc	18/85	1/14
1055	3148	Zuven Technologies Inc	0/93	1/6
1056	3148	Ivy Tech Solutions, Inc	6/95	1/4
1057	3148	Cytel Inc.	7/83	0/16
1058	3148	Advaitaa Technologies, Inc.	9/85	1/14
1059	3148	Hire It People, Llc	3/73	1/26
1060	3148	Business Integra Technology Solutions Inc.	3/95	1/4
1061	3148	Tek Services Llc	7/75	3/24
1062	3148	Opensoft Inc	3/97	1/2
1063	3148	Evernote Corporation	0/81	1/18
1064	3178	Softclouds, Llc.	3/91	0/7
1065	3178	Asana, Inc.	4/86	0/12
1066	3178	Circular Edge, Llc	0/87	0/11
1067	3178	Dynpro, Inc.	8/93	0/5
1068	3178	Amicus Systems Inc	6/87	1/11
1069	3178	Care It Services Inc	1/91	1/7
1070	3178	Imbuesys, Inc.	5/93	0/5
1071	3178	Netcracker Technology Corporation	1/76	2/22
